record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3kcSQmE6MHn8LQYDy,2982795Dy,new_entry,original,,,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19,2020-04-03,2020-04-03T14:38:15Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
R_3kcSQmE6MHn8LQYEa,2982795Ea,new_entry,original,,,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19,2020-04-03,2020-04-03T14:38:15Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
R_3kcSQmE6MHn8LQYFj,2982795Fj,new_entry,original,,,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19,2020-04-03,2020-04-03T14:38:15Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
R_3kcSQmE6MHn8LQYCe,2982795Ce,new_entry,original,,,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19,2020-04-03,2020-04-03T14:38:15Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
R_6X9jBoGzmrJuOSlDy,2982795Dy,update,original,End of Policy,Relaxing,"Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education). UPDATE: Schools in Cameroon, which were closed on March 18, will tentatively reopen on June 1, 2020. The 2020/21 school year is scheduled to begin on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.4104353051359,48.3509076827297,45.0007339263395,55,NA ; https://www.journalducameroun.com/en/cameroon-govt-sets-official-exams-for-july-august-2020/,2020-05-15,2020-05-15T07:30:15Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
R_6X9jBoGzmrJuOSlEa,2982795Ea,update,original,End of Policy,Relaxing,"Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education). UPDATE: Schools in Cameroon, which were closed on March 18, will tentatively reopen on June 1, 2020. The 2020/21 school year is scheduled to begin on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.4104353051359,48.3509076827297,45.0007339263395,55,NA ; https://www.journalducameroun.com/en/cameroon-govt-sets-official-exams-for-july-august-2020/,2020-05-15,2020-05-15T07:30:15Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
R_6X9jBoGzmrJuOSlFj,2982795Fj,update,original,End of Policy,Relaxing,"Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education). UPDATE: Schools in Cameroon, which were closed on March 18, will tentatively reopen on June 1, 2020. The 2020/21 school year is scheduled to begin on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.4104353051359,48.3509076827297,45.0007339263395,55,NA ; https://www.journalducameroun.com/en/cameroon-govt-sets-official-exams-for-july-august-2020/,2020-05-15,2020-05-15T07:30:15Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
R_6X9jBoGzmrJuOSlCe,2982795Ce,update,original,End of Policy,Relaxing,"Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education). UPDATE: Schools in Cameroon, which were closed on March 18, will tentatively reopen on June 1, 2020. The 2020/21 school year is scheduled to begin on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.4104353051359,48.3509076827297,45.0007339263395,55,NA ; https://www.journalducameroun.com/en/cameroon-govt-sets-official-exams-for-july-august-2020/,2020-05-15,2020-05-15T07:30:15Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
R_3dS5RRYVi63CJn4Dy,2982795Dy,update,original,End of Policy,Relaxing,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. UPDATE: Schools were announced on April 16, 2020 to tentatively reopen on June 1, 2020. As of June 1, 2020, all schools and public educational institutions have opened without restrictions other than social distancing measures, increased hygienic resources and enforced curfew.",2020-03-17,2020-03-18,2020-06-01,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.4104353051359,48.3509076827297,45.0007339263395,55,NA ; https://www.voanews.com/africa/cameroon-opens-schools-amid-covid-19-spike,2020-06-29,2020-06-29T20:09:06Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
R_3dS5RRYVi63CJn4Ea,2982795Ea,update,original,End of Policy,Relaxing,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. UPDATE: Schools were announced on April 16, 2020 to tentatively reopen on June 1, 2020. As of June 1, 2020, all schools and public educational institutions have opened without restrictions other than social distancing measures, increased hygienic resources and enforced curfew.",2020-03-17,2020-03-18,2020-06-01,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cameroon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.4104353051359,48.3509076827297,45.0007339263395,55,NA ; https://www.voanews.com/africa/cameroon-opens-schools-amid-covid-19-spike,2020-06-29,2020-06-29T20:09:06Z,10,0,0,,,,,,,,,130,4159,0,1,-0.82478433,0.548431635,-0.20141026,16,26,23344179,30431210269,1303.58879,5.773247581,16.9658582,24.1387345,7.17287635,2,0,0.212514997,-0.10565463,345240,0.35646123
