record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_YbQFg0CrcQGZpKNNA,5032985,new_entry,,,"","On March 18, 2020 High-level Coordination Committee for the prevention and control of coronavirus, constituted by the Government of Nepal, decided to take stem action in accordance with prevalent laws if anyone indulges in dissemination of misleading and baseless information regarding COVID-19 through media (including social networks) and creates confusion and panic among the common people. Nepal Police headquarters informed that culprits shall be sent to prison for a year or fined Rs 10,000 or both. Additional punishment will also be given if such fake messages are spread via electronic medium.",2020-03-18,2020-03-18,2022-11-17,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Nepal,NPL,NP,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",Police,52.6040590895434,49.5305479784808,46.0332961588848,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FlCVD8sFgfQT3G,https://mofa.gov.np/covid-19-update/ ; https://myrepublica.nagariknetwork.com/news/nepal-police-urges-not-to-disseminate-fake-news-on-covid-19-warns-of-stringent-punishment/,2021-02-12,2021-02-12T07:31:46Z
R_2TuEUx9hunN7qCDEl,5846320El,new_entry,,,"","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,52.6040590895434,49.5305479784808,46.0332961588848,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15,https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/,2020-04-02,2020-04-02T02:56:42Z
R_2TuEUx9hunN7qCDEm,5846320Em,new_entry,,,"","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,52.6040590895434,49.5305479784808,46.0332961588848,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15,https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/,2020-04-02,2020-04-02T02:56:42Z
R_2TuEUx9hunN7qCDFw,5846320Fw,new_entry,,,"","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,52.6040590895434,49.5305479784808,46.0332961588848,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15,https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/,2020-04-02,2020-04-02T02:56:42Z
R_2TuEUx9hunN7qCDCe,5846320Ce,new_entry,,,"","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,52.6040590895434,49.5305479784808,46.0332961588848,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15,https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/,2020-04-02,2020-04-02T02:56:42Z
R_1YzVVQUQd5hwGSlFw,9500052Fw,new_entry,,,"","On 19 March, 2020 the government of Nepal declared suspension of all classes in schools, colleges, and universities, and postponement of all academic examinations including the Secondary Education Examination until April 12.",2020-03-19,2020-03-19,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Special provisions exist for how teaching is done which applies to all teachers,Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,55.1903278551368,51.7392535616763,48.1571571082962,66,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2D0GNZvPZiNzZ9C,https://web.archive.org/web/20200525191505/https://myrepublica.nagariknetwork.com/news/90755/,2022-11-10,2022-11-10T07:29:55Z
R_1YzVVQUQd5hwGSlCe,9500052Ce,new_entry,,,"","On 19 March, 2020 the government of Nepal declared suspension of all classes in schools, colleges, and universities, and postponement of all academic examinations including the Secondary Education Examination until April 12.",2020-03-19,2020-03-19,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Special provisions exist for how teaching is done which applies to all teachers,Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,55.1903278551368,51.7392535616763,48.1571571082962,66,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2D0GNZvPZiNzZ9C,https://web.archive.org/web/20200525191505/https://myrepublica.nagariknetwork.com/news/90755/,2022-11-10,2022-11-10T07:29:55Z
R_w617uJ3j2iWbIfnEl,5846320El,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30 UPDATE: School closures were set to last until April 12, it has been extended to April 30",2020-03-18,2020-04-12,2020-04-30,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,78.0080595584227,75.0045830639437,71.6912749573128,109,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QGeV8IWVPeBP00,NA ; https://www.aa.com.tr/en/asia-pacific/covid-19-nepal-expands-travel-ban-to-europe-mideast/1770580,2020-06-10,2020-06-10T16:38:08Z
R_w617uJ3j2iWbIfnEm,5846320Em,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30 UPDATE: School closures were set to last until April 12, it has been extended to April 30",2020-03-18,2020-04-12,2020-04-30,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,78.0080595584227,75.0045830639437,71.6912749573128,109,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QGeV8IWVPeBP00,NA ; https://www.aa.com.tr/en/asia-pacific/covid-19-nepal-expands-travel-ban-to-europe-mideast/1770580,2020-06-10,2020-06-10T16:38:08Z
R_w617uJ3j2iWbIfnFw,5846320Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30 UPDATE: School closures were set to last until April 12, it has been extended to April 30",2020-03-18,2020-04-12,2020-04-30,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,78.0080595584227,75.0045830639437,71.6912749573128,109,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QGeV8IWVPeBP00,NA ; https://www.aa.com.tr/en/asia-pacific/covid-19-nepal-expands-travel-ban-to-europe-mideast/1770580,2020-06-10,2020-06-10T16:38:08Z
