record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_Oa04qew1fE74aQxDy,2086782Dy,new_entry,correction,,,"In Westbank, Palestine, as of March 07, all schools and educational facilities are closed.
",2020-03-05,2020-03-06,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,56.8488568131368,53.1445721668823,49.3255892728622,134,https://deref-gmx.net/mail/client/J5xAn8fkNjs/dereferrer/?redirectUrl=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2F2020%2F03%2Fbethlehem-lockdown-coronavirus-cases-confirmed-200307054939115.html,2020-04-04,2020-04-04T17:19:24Z
R_Oa04qew1fE74aQxEa,2086782Ea,new_entry,correction,,,"In Westbank, Palestine, as of March 07, all schools and educational facilities are closed.
",2020-03-05,2020-03-06,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,56.8488568131368,53.1445721668823,49.3255892728622,134,https://deref-gmx.net/mail/client/J5xAn8fkNjs/dereferrer/?redirectUrl=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2F2020%2F03%2Fbethlehem-lockdown-coronavirus-cases-confirmed-200307054939115.html,2020-04-04,2020-04-04T17:19:24Z
R_Oa04qew1fE74aQxFj,2086782Fj,new_entry,correction,,,"In Westbank, Palestine, as of March 07, all schools and educational facilities are closed.
",2020-03-05,2020-03-06,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,56.8488568131368,53.1445721668823,49.3255892728622,134,https://deref-gmx.net/mail/client/J5xAn8fkNjs/dereferrer/?redirectUrl=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2F2020%2F03%2Fbethlehem-lockdown-coronavirus-cases-confirmed-200307054939115.html,2020-04-04,2020-04-04T17:19:24Z
R_Oa04qew1fE74aQxCe,2086782Ce,new_entry,correction,,,"In Westbank, Palestine, as of March 07, all schools and educational facilities are closed.
",2020-03-05,2020-03-06,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,56.8488568131368,53.1445721668823,49.3255892728622,134,https://deref-gmx.net/mail/client/J5xAn8fkNjs/dereferrer/?redirectUrl=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2F2020%2F03%2Fbethlehem-lockdown-coronavirus-cases-confirmed-200307054939115.html,2020-04-04,2020-04-04T17:19:24Z
R_11dXpQgPgYHb7roDy,5620384Dy,new_entry,original,,,"In Palestine, on March 07, Gaza Strip schools were closed (...) in implementation of the decision of the Ministry of Education, as part of the precautionary measures against the Corona virus.""
",2020-03-07,2020-03-07,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,58.5270999364041,55.1622522907456,51.4391489936929,135,https://www.alwatanvoice.com/arabic/news/2020/03/07/1320108.html,2020-04-04,2020-04-04T14:08:54Z
R_11dXpQgPgYHb7roEa,5620384Ea,new_entry,original,,,"In Palestine, on March 07, Gaza Strip schools were closed (...) in implementation of the decision of the Ministry of Education, as part of the precautionary measures against the Corona virus.""
",2020-03-07,2020-03-07,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,58.5270999364041,55.1622522907456,51.4391489936929,135,https://www.alwatanvoice.com/arabic/news/2020/03/07/1320108.html,2020-04-04,2020-04-04T14:08:54Z
R_11dXpQgPgYHb7roFj,5620384Fj,new_entry,original,,,"In Palestine, on March 07, Gaza Strip schools were closed (...) in implementation of the decision of the Ministry of Education, as part of the precautionary measures against the Corona virus.""
",2020-03-07,2020-03-07,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,58.5270999364041,55.1622522907456,51.4391489936929,135,https://www.alwatanvoice.com/arabic/news/2020/03/07/1320108.html,2020-04-04,2020-04-04T14:08:54Z
R_11dXpQgPgYHb7roCe,5620384Ce,new_entry,original,,,"In Palestine, on March 07, Gaza Strip schools were closed (...) in implementation of the decision of the Ministry of Education, as part of the precautionary measures against the Corona virus.""
",2020-03-07,2020-03-07,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,58.5270999364041,55.1622522907456,51.4391489936929,135,https://www.alwatanvoice.com/arabic/news/2020/03/07/1320108.html,2020-04-04,2020-04-04T14:08:54Z
R_d08PnuXXkiWdMC5Dy,9162546Dy,new_entry,original,,,"Palestine Governor of the West Bank district of Nablus ""ordered on the 19th of June a full closure of multiple sectors"" including educational institutions in an effort to prevent an outbreak of the disease.",2020-06-19,2020-06-19,,Palestine,PSE,PS,Municipal,1,,,Nablus,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Palestine,One or more geographical or administrative units within one or more countries,,,Nablus,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,74.5696550373712,71.2816969062128,67.6707873037255,114,https://english.wafa.ps/page.aspx?id=3DCrhua117492956097a3DCrhu,2020-09-23,2020-09-23T15:39:01Z
R_d08PnuXXkiWdMC5Ea,9162546Ea,new_entry,original,,,"Palestine Governor of the West Bank district of Nablus ""ordered on the 19th of June a full closure of multiple sectors"" including educational institutions in an effort to prevent an outbreak of the disease.",2020-06-19,2020-06-19,,Palestine,PSE,PS,Municipal,1,,,Nablus,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Palestine,One or more geographical or administrative units within one or more countries,,,Nablus,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,74.5696550373712,71.2816969062128,67.6707873037255,114,https://english.wafa.ps/page.aspx?id=3DCrhua117492956097a3DCrhu,2020-09-23,2020-09-23T15:39:01Z
R_d08PnuXXkiWdMC5Fj,9162546Fj,new_entry,original,,,"Palestine Governor of the West Bank district of Nablus ""ordered on the 19th of June a full closure of multiple sectors"" including educational institutions in an effort to prevent an outbreak of the disease.",2020-06-19,2020-06-19,,Palestine,PSE,PS,Municipal,1,,,Nablus,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Palestine,One or more geographical or administrative units within one or more countries,,,Nablus,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,74.5696550373712,71.2816969062128,67.6707873037255,114,https://english.wafa.ps/page.aspx?id=3DCrhua117492956097a3DCrhu,2020-09-23,2020-09-23T15:39:01Z
R_d08PnuXXkiWdMC5Ce,9162546Ce,new_entry,original,,,"Palestine Governor of the West Bank district of Nablus ""ordered on the 19th of June a full closure of multiple sectors"" including educational institutions in an effort to prevent an outbreak of the disease.",2020-06-19,2020-06-19,,Palestine,PSE,PS,Municipal,1,,,Nablus,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Palestine,One or more geographical or administrative units within one or more countries,,,Nablus,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,74.5696550373712,71.2816969062128,67.6707873037255,114,https://english.wafa.ps/page.aspx?id=3DCrhua117492956097a3DCrhu,2020-09-23,2020-09-23T15:39:01Z
R_Zlv2xBkJprops3LDy,7528391Dy,new_entry,original,,,"Schools were ordered shut in Gaza strip, Palestine, after a 48-hour lockdown went into effect on Monday night (August 24,2020) in the entire territory, including the alMaghazi refugee camp.",2020-08-24,2020-08-24,2021-08-27,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Palestine,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Police,74.656408852642,71.2635722147693,68.244343707407,121,https://www.aljazeera.com/news/2020/8/25/gaza-in-lockdown-after-first-covid-19-community-transmission,2021-02-28,2021-02-28T16:19:38Z
R_Zlv2xBkJprops3LEa,7528391Ea,new_entry,original,,,"Schools were ordered shut in Gaza strip, Palestine, after a 48-hour lockdown went into effect on Monday night (August 24,2020) in the entire territory, including the alMaghazi refugee camp.",2020-08-24,2020-08-24,2021-08-27,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Palestine,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Police,74.656408852642,71.2635722147693,68.244343707407,121,https://www.aljazeera.com/news/2020/8/25/gaza-in-lockdown-after-first-covid-19-community-transmission,2021-02-28,2021-02-28T16:19:38Z
R_Zlv2xBkJprops3LFj,7528391Fj,new_entry,original,,,"Schools were ordered shut in Gaza strip, Palestine, after a 48-hour lockdown went into effect on Monday night (August 24,2020) in the entire territory, including the alMaghazi refugee camp.",2020-08-24,2020-08-24,2021-08-27,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Palestine,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Police,74.656408852642,71.2635722147693,68.244343707407,121,https://www.aljazeera.com/news/2020/8/25/gaza-in-lockdown-after-first-covid-19-community-transmission,2021-02-28,2021-02-28T16:19:38Z
R_bl5WxykPVQbQoEhDy,3377389Dy,new_entry,original,,,"The Palestinian Authority announced a two-week closure in the entire West Bank where all schools, universities, restaurants, barbershops, gyms and leisure venues in the West Bank will be closed starting
Thursday night (December 17,2020).",2020-12-17,2020-12-17,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Palestine,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",67.1715643592847,63.7543532048729,60.3403532601275,100,https://www.timesofisrael.com/pa-announces-two-week-closure-throughout-west-bank-as-virus-surges/,2021-02-23,2021-02-23T16:55:47Z
R_bl5WxykPVQbQoEhEa,3377389Ea,new_entry,original,,,"The Palestinian Authority announced a two-week closure in the entire West Bank where all schools, universities, restaurants, barbershops, gyms and leisure venues in the West Bank will be closed starting
Thursday night (December 17,2020).",2020-12-17,2020-12-17,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Palestine,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",67.1715643592847,63.7543532048729,60.3403532601275,100,https://www.timesofisrael.com/pa-announces-two-week-closure-throughout-west-bank-as-virus-surges/,2021-02-23,2021-02-23T16:55:47Z
R_bl5WxykPVQbQoEhFj,3377389Fj,new_entry,original,,,"The Palestinian Authority announced a two-week closure in the entire West Bank where all schools, universities, restaurants, barbershops, gyms and leisure venues in the West Bank will be closed starting
Thursday night (December 17,2020).",2020-12-17,2020-12-17,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Palestine,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",67.1715643592847,63.7543532048729,60.3403532601275,100,https://www.timesofisrael.com/pa-announces-two-week-closure-throughout-west-bank-as-virus-surges/,2021-02-23,2021-02-23T16:55:47Z
R_bl5WxykPVQbQoEhCe,3377389Ce,new_entry,original,,,"The Palestinian Authority announced a two-week closure in the entire West Bank where all schools, universities, restaurants, barbershops, gyms and leisure venues in the West Bank will be closed starting
Thursday night (December 17,2020).",2020-12-17,2020-12-17,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Palestine,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",67.1715643592847,63.7543532048729,60.3403532601275,100,https://www.timesofisrael.com/pa-announces-two-week-closure-throughout-west-bank-as-virus-surges/,2021-02-23,2021-02-23T16:55:47Z
R_3qOHq3gWptyEpTPNA,232269,new_entry,original,,,"
Ministry of Health-Gaza launched the national Covid-19 vaccination campaign on Monday (February 22,2021).",2021-02-22,2021-02-22,2021-05-04,Palestine,PSE,PS,Provincial,1,,,,COVID-19 Vaccines,,,,Palestine,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,,,,,https://www.moh.gov.ps/portal/moh-gaza-launches-the-national-covid-19vaccination-campaign/,2021-02-25,2021-02-25T12:41:37Z
R_21AhJ24HEyHPNLNNA,292565,new_entry,correction,,,"In Palestine, as of April 02, outside movement for essential purposes is only allowed from 10.00 am to 5.00 pm.",2020-04-02,2020-04-02,,Palestine,PSE,PS,National,1,,,,Curfew,,,,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Police,77.7289764590204,74.7858450946696,71.2045372157588,113,http://english.wafa.ps/page.aspx?id=pLro6Ea115637989500apLro6E,2021-04-19,2021-04-19T12:20:42Z
R_2106mVMQRpfJMtsNA,292565,update,original,,Relaxing,"In Palestine, as of April 20, outside movement for essential purposes is only allowed from 10.00 am to 7.30 pm. UPDATE: As of April 20, the curfew times will be relaxed.",2020-04-20,2020-04-20,,Palestine,PSE,PS,National,1,,,,Curfew,,,,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Police,78.2500874148543,74.8055861191685,71.5061761136969,101,http://english.wafa.ps/page.aspx?id=pLro6Ea115637989500apLro6E ; http://english.wafa.ps/page.aspx?id=qZ4OHGa115859747949aqZ4OHG,2020-04-24,2020-04-24T12:46:41Z
R_Z32anqspiucZCA9NA,1278652,new_entry,correction,,,"Palestine Thursday evening July 23,2020 reinstated the nighttime and weekend curfew from 8 pm till 6 am where on weekends it spans from Thursday 8 pm until Sunday 6 am. It ended on July 26, 2020 due to the imposition of a lockdown.",2020-07-24,2020-07-23,2020-07-26,Palestine,PSE,PS,National,1,,,,Curfew,,,,Palestine,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Police,74.8357530604932,71.2788638285444,67.9431527832428,118,https://english.wafa.ps/Pages/Details/118635,2021-04-26,2021-04-26T12:33:34Z
R_6sQHIEFVlpK0qiJNA,6981081,new_entry,original,,,"The Emergency Committee of Nablus ordered today November 15,2020 a  five-day curfew from 7 pm to 6 am on the entire Nablus Governorate in the north of the West Bank.",2020-11-15,2020-11-15,2020-11-20,Palestine,PSE,PS,Municipal,1,,,Nablus,Curfew,,,,Palestine,One or more geographical or administrative units within one or more countries,,,Nablus,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",64.0446893573371,60.5057883627792,56.8209577691944,83,https://english.wafa.ps/Pages/Details/120982,2021-03-26,2021-03-26T11:38:58Z
