record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_1eWAUvZdsgvcgADNA,7272405,new_entry,,,"",Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid-19 outbreak.,2020-03-27,2020-03-30,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Zimbabwe,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1q8HWICXX5XjVRM ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2XoLMCJpkkhTynf,https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_8HrjC2GLaX1ZPEJNA,2038437,new_entry,,,"","The Zimbabwean government has announced that as from 14 June, it will be providing daily updates on hotspots. This is an attempt to keep the country updated with accurate facts on the extent of the pandemic",2021-06-13,2021-06-13,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Other; please list other enforcement mechanisms in the text entry),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_dmyhHz8L7iEEWhH,https://www.garda.com/crisis24/news-alerts/489996/zimbabwe-officials-enhance-covid-19-restrictions-nationwide-in-mid-june-update-17,CoronaNet (original),,2021-07-04,2021-07-04T17:56:00Z
R_ZyRkxwZwbRYtzAREp,7928262Ep,new_entry,,,"","In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tfJrwl7GtiS4Le,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_ZyRkxwZwbRYtzAREq,7928262Eq,new_entry,,,"","In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tfJrwl7GtiS4Le,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_ZyRkxwZwbRYtzARGb,7928262Gb,new_entry,,,"","In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tfJrwl7GtiS4Le,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_ZyRkxwZwbRYtzARCe,7928262Ce,new_entry,,,"","In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tfJrwl7GtiS4Le,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_3flc8mUiL481aBYEq,7021165Eq,new_entry,,,"","Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mqkK5vn584VJfg,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_3flc8mUiL481aBYGb,7021165Gb,new_entry,,,"","Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mqkK5vn584VJfg,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_3flc8mUiL481aBYCe,7021165Ce,new_entry,,,"","Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mqkK5vn584VJfg,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_20rYUSGCmo6PJD3Eq,6126086Eq,new_entry,,,"","Phased reopening of primary and secondary schools has begun in Zimbabwe. From July 28, grade seven, form four and upper form six classes can resume.",2020-06-10,2020-07-28,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Types of people on school premises are limited (e.g. no parents),Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Ofgs0aTmL4zcAjT,https://www.herald.co.zw/date-for-schools-reopening-set/,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
